b 50.06 50 0.05 0.0600014
b 50.1 50 0.05 0.0999985
b 50.06 50 0.05 0.0600014
b 50.11 50 0.05 0.110001
b 49.96 50 0.05 -0.0400009
b 49.94 50 0.05 -0.0600014
b 49.9 50 0.05 -0.0999985
b 49.89 50 0.05 -0.110001
b 50 50 0.05 0
b 49.99 50 0.05 -0.00999832
b 50 50 0.05 0
b 49.88 50 0.05 -0.119999
b 50.17 50 0.05 0.169998
b 50.03 50 0.05 0.0299988
b 50.07 50 0.05 0.0699997
b 50.04 50 0.05 0.0400009
b 50.04 50 0.05 0.0400009
b 50.07 50 0.05 0.0699997
b 49.92 50 0.05 -0.0800018
b 50.08 50 0.05 0.0800018
b 50.03 50 0.05 0.0299988
b 50 50 0.05 0
b 49.89 50 0.05 -0.110001
b 50.04 50 0.05 0.0400009
b 50.1 50 0.05 0.0999985
b 50.08 50 0.05 0.0800018
b 50.09 50 0.05 0.0900002
b 50.06 50 0.05 0.0600014
b 49.97 50 0.05 -0.0299988
b 49.94 50 0.05 -0.0600014
b 50.02 50 0.05 0.0200005
b 50.04 50 0.05 0.0400009
b 49.99 50 0.05 -0.00999832
b 49.86 50 0.05 -0.139999
b 49.94 50 0.05 -0.0600014
b 49.99 50 0.05 -0.00999832
b 49.96 50 0.05 -0.0400009
b 49.97 50 0.05 -0.0299988
b 50.04 50 0.05 0.0400009
b 49.97 50 0.05 -0.0299988
b 49.96 50 0.05 -0.0400009
b 49.96 50 0.05 -0.0400009
b 50.01 50 0.05 0.00999832
b 49.99 50 0.05 -0.00999832
b 49.91 50 0.05 -0.0900002
b 49.99 50 0.05 -0.00999832
b 49.93 50 0.05 -0.0699997
b 49.99 50 0.05 -0.00999832
b 49.93 50 0.05 -0.0699997
b 49.98 50 0.05 -0.0200005
g 69.96 70 0.07 -0.0400009
g 70.02 70 0.07 0.0199966
g 69.99 70 0.07 -0.0100021
g 70.06 70 0.07 0.0599976
g 69.95 70 0.07 -0.0500031
g 70.03 70 0.07 0.0299988
g 70.11 70 0.07 0.110001
g 69.92 70 0.07 -0.0800018
g 69.94 70 0.07 -0.0599976
g 69.99 70 0.07 -0.0100021
g 69.99 70 0.07 -0.0100021
g 69.93 70 0.07 -0.0699997
g 70.1 70 0.07 0.0999985
g 69.96 70 0.07 -0.0400009
g 70.12 70 0.07 0.120003
g 70 70 0.07 0
g 69.97 70 0.07 -0.0299988
g 70.07 70 0.07 0.0699997
g 69.91 70 0.07 -0.0899963
g 70.01 70 0.07 0.0100021
g 70.03 70 0.07 0.0299988
g 70.04 70 0.07 0.0400009
g 69.97 70 0.07 -0.0299988
g 70.04 70 0.07 0.0400009
g 69.99 70 0.07 -0.0100021
g 69.97 70 0.07 -0.0299988
g 70.06 70 0.07 0.0599976
g 70.06 70 0.07 0.0599976
g 70.04 70 0.07 0.0400009
g 69.97 70 0.07 -0.0299988
g 70.05 70 0.07 0.0500031
g 69.98 70 0.07 -0.0199966
g 69.89 70 0.07 -0.110001
g 69.99 70 0.07 -0.0100021
g 70.02 70 0.07 0.0199966
g 69.93 70 0.07 -0.0699997
g 70.03 70 0.07 0.0299988
g 70.02 70 0.07 0.0199966
g 70.07 70 0.07 0.0699997
g 70.03 70 0.07 0.0299988
r 90.01 90 0.09 0.0100021
r 90.04 90 0.09 0.0400009
r 90.06 90 0.09 0.0599976
r 90.03 90 0.09 0.0299988
r 90.04 90 0.09 0.0400009
r 89.87 90 0.09 -0.129997
r 90.05 90 0.09 0.0500031
r 89.93 90 0.09 -0.0699997
r 90.09 90 0.09 0.0899963
r 90.03 90 0.09 0.0299988
r 90.11 90 0.09 0.110001
r 89.94 90 0.09 -0.0599976
r 90.15 90 0.09 0.150002
r 90.09 90 0.09 0.0899963
r 89.94 90 0.09 -0.0599976
r 89.95 90 0.09 -0.0500031
r 90.02 90 0.09 0.0199966
r 89.93 90 0.09 -0.0699997
r 89.9 90 0.09 -0.0999985
r 89.86 90 0.09 -0.139999
r 90 90 0.09 0
r 90.01 90 0.09 0.0100021
r 89.91 90 0.09 -0.0899963
r 89.93 90 0.09 -0.0699997
r 89.91 90 0.09 -0.0899963
r 90.13 90 0.09 0.129997
r 90.15 90 0.09 0.150002
r 89.92 90 0.09 -0.0800018
r 90.12 90 0.09 0.120003
r 89.94 90 0.09 -0.0599976
