403	32.5	B
352	10.4	Y
651	37.9	j
402	46.7	H
982	19	L
532	39.6	C
655	18.5	w
579	27.1	P
759	81.4	Q
732	83.4	a
396	47.6	r
86	8	n
771	68.6	w
439	68.8	n
913	46.5	O
547	21.8	Q
98	51.4	P
616	84.9	U
183	78.9	i
906	86.7	f
568	12.4	c
248	11.9	b
916	79.2	u
132	8.7	b
385	54	b
384	9.8	e
990	20.4	k
576	9.1	R
877	29.4	x
409	75	n
320	76.7	x
970	82	S
974	64.4	O
244	86.4	i
681	42.7	g
588	53.1	G
375	36	D
683	4.4	H
694	72.7	Q
761	64.8	b
734	82.2	u
530	76.4	w
467	61.5	Q
251	30.6	C
70	60.2	t
566	69.3	b
509	86	J
419	7.6	j
304	75.5	I
264	72.4	Y
991	45.1	m
422	19.7	A
388	85.4	B
226	60.6	j
793	77.1	U
41	66.8	d
104	84.4	A
493	4.2	t
775	77.1	l
455	69.6	i
281	29.9	N
791	55.3	K
985	68.6	D
809	78	G
44	82.3	D
664	14.2	m
728	12.5	m
883	6.1	G
975	49.8	g
418	7.2	A
757	38.5	Y
755	39.8	k
571	75	D
851	64.6	d
743	77.7	C
232	25.3	A
933	65.4	i
812	29.8	j
156	77.6	X
179	26.7	k
592	10.5	Q
39	46.7	L
865	29.6	U
162	48.2	E
549	19.3	H
647	0	g
735	25.2	t
671	64.8	u
748	16.5	S
218	41.9	X
137	46.3	O
242	30	s
182	14.3	c
881	20.2	M
406	17	K
291	68.8	r
27	36.2	q
302	66.3	a
634	18.9	C
487	14.2	M
195	22	F
864	3.8	i
746	43.8	W
770	30.7	X
666	10.3	n
325	44.3	u
723	63.2	u
854	3.4	o
727	43	W
478	32.5	Z
398	36	q
105	0.2	m
107	53.4	M
518	78.1	K
1	6.3	r
316	33.8	n
224	29.2	y
163	82.2	q
738	53.4	v
542	86	z
188	14.3	n
330	15	J
829	50.4	t
698	78.5	K
480	44.1	s
873	13.4	o
275	68	S
661	76.4	a
687	26.1	m
356	35.9	F
317	13.2	M
837	46	Z
14	34.1	P
444	17.8	b
911	30.8	u
794	55.9	n
461	79.7	I
517	23.8	r
706	36.5	j
289	38.5	J
788	50.5	G
48	22.6	W
220	87.2	c
428	23.6	p
199	5.3	z
635	16.3	m
211	27.1	l
191	39.2	i
636	35.9	G
944	89	v
562	40.3	n
885	62.8	c
861	80.4	m
725	15.8	P
363	35.5	D
931	6.2	u
625	55.3	O
630	10	O
795	35.7	r
747	80	A
799	37.1	h
125	45.4	h
32	35.8	V
612	72	H
466	78.2	d
90	30.5	g
580	6.7	m
603	56.9	d
976	82.1	z
446	38.5	T
3	13.6	P
440	40.6	d
486	10.4	c
157	44.7	O
900	72.6	C
221	15.5	w
924	40.8	S
200	5.4	J
134	39.3	h
47	4.3	n
819	5.1	l
194	62	D
114	1.5	D
925	28.7	F
207	79.9	Q
894	29.9	q
145	78.9	R
693	9.5	T
525	22	v
622	31.8	G
0	40.2	T
254	58.7	V
774	12.6	a
236	32.7	D
349	76.3	B
128	70.4	d
599	43	U
30	24.2	J
654	5.7	U
857	19.3	o
956	52.6	c
78	2.7	l
501	54.5	S
464	34.9	T
386	62.6	R
459	82.5	J
336	41.9	Z
918	19.6	P
438	49.8	F
690	37.2	y
721	81.8	X
366	6.2	r
554	14.8	T
889	35.2	R
697	42.1	x
539	84.1	f
832	30.5	G
929	65	V
216	88.8	C
736	30.2	A
370	64.6	d
430	5.8	t
6	11.7	t
565	44	c
848	73.6	D
448	47	G
867	8.9	q
762	25.8	Y
161	82.1	N
37	33.2	J
249	8.6	i
567	75.1	Q
173	34.6	M
457	66.8	L
741	13.2	e
531	40.8	T
783	39.9	a
471	67.6	m
729	32	t
436	14.4	X
807	18.8	P
342	87.2	J
742	22.9	C
831	32.7	T
441	13.6	P
752	29	D
792	44.3	q
290	46.5	a
23	24.5	x
892	64	E
230	54	Q
677	56.7	a
682	81.4	Z
80	0.7	l
475	33.5	u
