Numero di dati: 342

Oggetto [1]: tempo = 92 vx = 0.591784 vy = 0.70599 vz =  K = 33.4755 massa = 0
Oggetto [2]: tempo = 280 vx = 0.170206 vy = 0.0415216 vz =  K = 33.7762 massa = 0
Oggetto [3]: tempo = 132 vx = 0.953417 vy = 0.27754 vz =  K = 40.2231 massa = 0
Oggetto [4]: tempo = 279 vx = 0.127423 vy = 0.80149 vz =  K = 40.5432 massa = 0
Oggetto [5]: tempo = 6 vx = 0.77111 vy = 0.632644 vz =  K = 36.2611 massa = 0
Oggetto [6]: tempo = 301 vx = 0.504269 vy = 0.526881 vz =  K = 29.2921 massa = 0
Oggetto [7]: tempo = 247 vx = 0.215482 vy = 0.867117 vz =  K = 45.1632 massa = 0
Oggetto [8]: tempo = 55 vx = 0.489466 vy = 0.501528 vz =  K = 35.6713 massa = 0
Oggetto [9]: tempo = 228 vx = 0.727124 vy = 0.665803 vz =  K = 32.9629 massa = 0
Oggetto [10]: tempo = 37 vx = 0.650775 vy = 0.609604 vz =  K = 28.1781 massa = 0
Oggetto [11]: tempo = 65 vx = 0.112943 vy = 0.380156 vz =  K = 26.5284 massa = 0
Oggetto [12]: tempo = 179 vx = 0.822178 vy = 0.374439 vz =  K = 40.1916 massa = 0
Oggetto [13]: tempo = 167 vx = 0.432893 vy = 0.840021 vz =  K = 34.9138 massa = 0
Oggetto [14]: tempo = 102 vx = 0.87249 vy = 0.488465 vz =  K = 38.6501 massa = 0
Oggetto [15]: tempo = 15 vx = 0.314987 vy = 0.259185 vz =  K = 41.0277 massa = 0
Oggetto [16]: tempo = 189 vx = 0.360036 vy = 0.691168 vz =  K = 38.8734 massa = 0
Oggetto [17]: tempo = 196 vx = 0.810694 vy = 0.547842 vz =  K = 32.8046 massa = 0
Oggetto [18]: tempo = 166 vx = 0.573639 vy = 0.616736 vz =  K = 48.4888 massa = 0
Oggetto [19]: tempo = 333 vx = 0.419498 vy = 0.411359 vz =  K = 36.1862 massa = 0
Oggetto [20]: tempo = 26 vx = 0.123929 vy = 0.29641 vz =  K = 42.5138 massa = 0
Oggetto [21]: tempo = 276 vx = 0.768999 vy = 0.161889 vz =  K = 35.6088 massa = 0
Oggetto [22]: tempo = 113 vx = 0.421937 vy = 0.438933 vz =  K = 45.169 massa = 0
Oggetto [23]: tempo = 297 vx = 0.633625 vy = 0.726432 vz =  K = 37.4437 massa = 0
Oggetto [24]: tempo = 254 vx = 0.233676 vy = 0.949314 vz =  K = 43.2569 massa = 0
Oggetto [25]: tempo = 54 vx = 0.833584 vy = 0.227268 vz =  K = 31.7705 massa = 0
Oggetto [26]: tempo = 59 vx = 0.749329 vy = 0.658668 vz =  K = 36.8187 massa = 0
Oggetto [27]: tempo = 181 vx = 0.895297 vy = 0.435135 vz =  K = 48.6451 massa = 0
Oggetto [28]: tempo = 295 vx = 0.699422 vy = 0.71422 vz =  K = 31.7776 massa = 0
Oggetto [29]: tempo = 223 vx = 0.927785 vy = 0.372929 vz =  K = 36.1016 massa = 0
Oggetto [30]: tempo = 238 vx = 0.859858 vy = 0.0878761 vz =  K = 28.0837 massa = 0
Oggetto [31]: tempo = 20 vx = 0.578177 vy = 0.146602 vz =  K = 37.2432 massa = 0
Oggetto [32]: tempo = 74 vx = 0.67484 vy = 0.318034 vz =  K = 32.2263 massa = 0
Oggetto [33]: tempo = 52 vx = 0.671408 vy = 0.28324 vz =  K = 35.2511 massa = 0
Oggetto [34]: tempo = 159 vx = 0.365176 vy = 0.787964 vz =  K = 30.926 massa = 0
Oggetto [35]: tempo = 235 vx = 0.506403 vy = 0.575245 vz =  K = 39.0862 massa = 0
Oggetto [36]: tempo = 7 vx = 0.533587 vy = 0.663786 vz =  K = 33.6109 massa = 0
Oggetto [37]: tempo = 289 vx = 0.683839 vy = 0.728493 vz =  K = 33.0122 massa = 0
Oggetto [38]: tempo = 190 vx = 0.436647 vy = 0.217558 vz =  K = 42.5438 massa = 0
Oggetto [39]: tempo = 284 vx = 0.766733 vy = 0.635117 vz =  K = 38.1622 massa = 0
Oggetto [40]: tempo = 124 vx = 0.798196 vy = 0.390045 vz =  K = 38.3347 massa = 0
Oggetto [41]: tempo = 63 vx = 0.759301 vy = 0.647311 vz =  K = 43.5619 massa = 0
Oggetto [42]: tempo = 56 vx = 0.684048 vy = 0.367292 vz =  K = 29.2658 massa = 0
Oggetto [43]: tempo = 150 vx = 0.36099 vy = 0.622887 vz =  K = 38.3911 massa = 0
Oggetto [44]: tempo = 229 vx = 0.39729 vy = 0.808102 vz =  K = 35.7305 massa = 0
